dia;mes;hora;minuto;km;trecho;sentido;acidente_caminhao
24;01;19;;232.2;2;3;0
24;01;22;;235.75;2;4;0
24;01;21;;248.1;2;4;0
24;01;16;;251.9;2;4;0
24;01;20;;261.8;2;3;0
24;01;23;;265;2;3;1
24;01;18;;266.8;2;3;0
24;01;21;;280.78;2;3;0
24;01;06;;286.65;2;4;0
24;01;17;;293.9;2;3;0
24;01;05;;300.6;2;4;0
25;01;21;;53.5;1;3;0
25;01;11;;86.85;1;4;0
25;01;10;;87;1;3;0
25;01;18;;140;1;4;1
25;01;20;;150;1;4;0
25;01;07;;156;1;3;1
25;01;08;;160.85;1;3;1
25;01;09;;164.2;2;3;1
25;01;16;;170.1;2;4;0
25;01;19;;170.3;2;4;0
25;01;14;;171.8;2;4;1
25;01;11;;172.8;2;4;1
25;01;16;;174;2;4;1
25;01;08;;174.2;2;4;1
25;01;18;;185.6;2;3;0
25;01;19;;192.7;2;4;0
25;01;20;;198;1;4;1
25;01;22;;205.3;1;3;1
25;01;16;;207;2;4;0
25;01;01;;212;2;4;0
25;01;08;;212.5;2;3;0
25;01;12;;213;1;3;1
25;01;15;;216.6;1;3;0
25;01;18;;223.3;2;3;0
25;01;17;;227.95;2;3;0
25;01;02;;228;1;3;0
25;01;14;;231.2;1;4;1
25;01;18;;233.4;2;4;1
25;01;05;;261.8;2;3;0
25;01;16;;265;2;4;0
25;01;14;;282.1;2;3;0
25;01;19;;285.5;2;4;0
26;01;00;;10.65;1;4;0
26;01;18;;96.1;1;4;0
26;01;11;;115.1;1;3;1
26;01;18;;155.9;1;3;0
26;01;11;;162;1;4;1
26;01;10;;163.1;2;4;1
26;01;15;;171.5;2;4;0
26;01;13;;173.4;1;3;1
26;01;18;;186.4;1;4;0
26;01;15;;211;1;4;0
26;01;09;;215;1;4;1
26;01;15;;216;1;3;0
26;01;08;;217;1;4;0
26;01;06;;219;1;4;0
26;01;14;;219;1;3;0
26;01;15;;221;1;3;0
26;01;20;;225.2;1;4;0
26;01;04;;230;1;4;0
26;01;07;;261.1;2;3;1
26;01;23;;282;2;3;0
27;01;06;;73.45;1;3;0
27;01;11;;101.4;1;3;1
27;01;07;;118.7;1;4;0
27;01;23;;131.05;1;3;1
27;01;07;;146;1;4;1
27;01;07;;146;1;4;0
27;01;14;;149;1;3;0
27;01;18;;149;1;4;0
27;01;10;;149.4;1;3;0
27;01;09;;149.6;1;3;0
27;01;09;;149.9;1;3;0
27;01;16;;165.4;2;4;0
27;01;15;;190;1;3;1
27;01;19;;209;1;3;0
27;01;21;;210.5;1;4;1
27;01;10;;212.3;1;3;0
27;01;00;;222.9;1;3;1
27;01;20;;224;1;4;1
27;01;17;;284.4;2;3;1
27;01;00;;318.92;2;3;1
28;01;18;;56;1;3;0
28;01;23;;112.8;1;4;1
28;01;15;;135.2;1;3;1
28;01;04;;138.85;1;3;1
28;01;16;;142;1;3;0
28;01;03;;147.63;1;3;0
28;01;04;;147.9;1;4;1
28;01;19;;150.3;1;4;0
28;01;21;;151.5;1;3;0
28;01;21;;173.2;2;4;0
28;01;06;;174.8;2;3;1
28;01;15;;175.71;2;3;0
28;01;06;;175.8;2;4;0
28;01;03;;177.3;1;4;1
28;01;13;;185.2;2;4;0
28;01;03;;203.7;2;4;0
28;01;03;;209;1;3;0
28;01;15;;214;1;4;0
28;01;07;;222;1;3;1
28;01;14;;223;1;3;0
28;01;08;;223.6;2;3;1
28;01;18;;224.9;1;3;0
28;01;16;;229.1;1;4;0
29;01;02;;5.6;1;4;1
29;01;14;;66.9;1;4;0
29;01;23;;86.8;1;3;1
29;01;17;;99.15;1;4;0
29;01;06;;146;1;3;0
29;01;15;;156;1;3;1
29;01;11;;160;1;4;0
29;01;12;;164.6;2;3;1
29;01;00;;170.92;2;3;0
29;01;17;;172.8;2;4;1
29;01;23;;172.8;2;4;1
29;01;17;;173.7;2;3;0
29;01;14;;174.1;2;3;0
29;01;10;;176.8;2;3;0
29;01;01;;186;1;3;1
29;01;20;;198;1;3;0
29;01;13;;200.9;1;4;0
29;01;03;;206.6;1;4;0
29;01;12;;207;2;4;1
29;01;02;;217;2;3;1
29;01;17;;219.8;1;4;1
29;01;21;;220.8;2;3;0
29;01;09;;222.9;2;3;1
29;01;07;;224;1;3;0
29;01;16;;224.3;2;4;1
29;01;09;;226;1;4;1
29;01;08;;226.6;1;4;0
29;01;07;;229;1;4;0
29;01;16;;229.1;1;4;1
29;01;21;;239;2;4;0
29;01;03;;265;2;3;0
29;01;03;;276.68;2;4;0
29;01;07;;294.8;2;4;0
30;01;02;;32.4;1;4;1
30;01;16;;42.3;1;3;0
30;01;16;;75;1;3;0
30;01;17;;111.1;1;3;0
30;01;06;;113.12;1;3;1
30;01;04;;141;1;3;0
30;01;06;;143.6;1;3;0
30;01;05;;149;1;4;0
30;01;08;;166.9;2;3;0
30;01;08;;166.9;2;3;0
30;01;00;;172.9;2;4;0
30;01;10;;176.1;2;4;0
30;01;04;;180.68;2;4;0
30;01;17;;187.4;2;3;0
30;01;18;;195;2;4;0
30;01;03;;204;1;4;0
30;01;23;;224;1;4;0
30;01;23;;224.4;1;3;0
30;01;10;;238.6;2;4;0
30;01;17;;255.4;2;3;0
30;01;06;;258.95;2;3;1
30;01;06;;311;2;4;0
31;01;08;;74;1;4;0
31;01;04;;95.05;1;3;1
31;01;16;;98;1;4;0
31;01;23;;148;1;3;0
31;01;06;;163.7;1;4;0
31;01;15;;164.9;1;4;0
31;01;18;;168.5;2;3;0
31;01;01;;172.6;2;4;0
31;01;04;;175.9;2;4;0
31;01;21;;187.1;2;3;0
31;01;12;;200.2;2;3;0
31;01;05;;212;1;4;0
31;01;17;;216.7;1;4;0
31;01;06;;218.4;1;3;0
31;01;09;;224.8;1;3;0
31;01;06;;227.5;1;4;0
31;01;04;;229;1;4;1
31;01;23;;239.5;2;3;0
31;01;20;;266;2;4;0
31;01;19;;266.5;2;4;0
31;01;06;;280.8;2;3;0
31;01;23;;285.4;2;3;1
31;01;06;;285.8;2;3;0
31;01;19;;293.6;2;4;1
31;01;23;;294.5;2;3;0
31;01;13;;307.5;2;3;0
31;01;16;;319;2;3;0
01;02;00;;198;1;4;1
01;02;04;;180.6;2;3;0
01;02;05;;193.4;1;4;1
01;02;06;;67;1;3;0
01;02;06;;194;1;4;1
01;02;06;;246.3;2;3;0
01;02;07;;242.8;2;3;0
01;02;11;;174;2;4;1
01;02;14;;213.58;1;4;1
01;02;15;;172.7;2;3;1
01;02;15;;223.15;2;3;1
01;02;16;;246;2;4;0
01;02;16;;177.7;1;4;1
01;02;16;;205.5;2;4;0
01;02;17;;180.2;2;3;0
01;02;17;;319;2;3;1
01;02;18;;109.5;1;3;0
01;02;18;;186;1;4;0
