data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
05/12/2020;07:07:00;37;Acidente com VITIMA;339,000;BR-386/RS;Norte;Colisão - Frontal;2;0;0;0;2;0;2
15/12/2020;13:50:00;181;Acidente com VITIMA;423,000;BR-386/RS;Sul;Queda de ribanceira;1;1;0;1;0;0;2
21/12/2020;01:45:00;12;Acidente com VITIMA FATAL;68,000;BR-101/RS;Sul;Colisão - Traseira;1;1;0;0;0;1;3
30/12/2020;13:25:44;222;Acidente com VITIMA;257,000;BR-386/RS;Norte;Colisão - Traseira;1;4;1;0;0;0;1
02/12/2020;14:03:00;457;Acidente sem VITIMA;290,000;BR-386/RS;Sul;Queda de ribanceira;1;1;0;0;0;0;1
17/12/2020;06:08:44;24;Acidente sem VITIMA;44,000;BR-101/RS;Sul;Queda de ribanceira;1;1;0;0;0;0;1
22/12/2020;15:00:00;715;Acidente sem VITIMA;393,000;BR-386/RS;Sul;Saída de pista;1;1;0;0;0;0;1
28/12/2020;04:56:00;17;Acidente com VITIMA;433,000;BR-386/RS;Norte;Colisão - Lateral;1;2;0;0;1;0;2
02/12/2020;05:25:25;294;Acidente com VITIMA;3,000;BR-290/RS;Oeste;Tombamento;1;0;1;0;0;0;1
02/12/2020;19:03:36;541;Acidente sem VITIMA;299,000;BR-386/RS;Norte;Saída de pista;1;1;0;0;0;0;1
29/12/2020;01:34:00;8;Acidente sem VITIMA;19,000;BR-290/RS;Leste;Colisão - Transversal;1;5;0;0;0;0;1
04/01/2021;16:23:50;277;Acidente com VITIMA FATAL;43,000;BR-290/RS;Oeste;Saída de pista;1;2;0;0;0;0;1
06/01/2021;08:58:35;98;Acidente com VITIMA FATAL;1,000;BR-290/RS;Oeste;Queda de ribanceira;1;1;0;0;0;1;3
07/01/2021;00:03:34;2;Acidente sem VITIMA;47,000;BR-290/RS;Oeste;Queda de ribanceira;1;2;0;0;0;0;1
07/01/2021;17:15:45;269;Acidente com VITIMA;357,000;BR-386/RS;Norte;Capotamento;1;3;0;0;0;0;1
07/01/2021;23:00:19;347;Acidente sem VITIMA;30,000;BR-290/RS;Leste;Queda de ribanceira;1;6;0;0;0;0;1
08/01/2021;03:40:49;15;Acidente sem VITIMA;64,000;BR-101/RS;Sul;Atropelamento de Animal;1;3;0;0;0;0;1
08/01/2021;17:44:15;252;Acidente COM VITIMA;28,000;BR-290/RS;Leste;Engavetamento;1;1;2;0;0;0;1
13/01/2021;03:23:26;12;Acidente com VITIMA;27,000;BR-290/RS;Leste;Queda de ribanceira;1;0;1;1;0;0;2
13/01/2021;18:23:25;232;Acidente com VITIMA;182,000;BR-386/RS;Sul;Queda de moto;1;2;0;0;0;0;1
13/01/2021;08:49:00;69;Acidente com VITIMA;15,000;BR-101/RS;Sul;Queda de ribanceira;1;1;0;0;0;0;1
14/01/2021;19:31:45;217;Acidente com VITIMA;353,000;BR-386/RS;Sul;Colisão - Lateral;1;1;0;0;0;0;1
15/01/2021;15:51:30;222;Acidente com VITIMA;12,000;BR-448/RS;Norte;Queda de moto;1;1;0;0;0;0;1
15/01/2021;21:33:56;309;Acidente com VITIMA FATAL;92,000;BR-290/RS;Oeste;Queda de moto;1;2;0;0;0;0;1
18/01/2021;07:50:35;59;Acidente sem VITIMA;353,000;BR-386/RS;Sul;Choque Defensa;1;1;0;0;0;0;1
19/01/2021;21:22:45;254;Acidente COM VITIMA;23,000;BR-290/RS;Oeste;Colisão - Traseira;1;0;0;1;0;0;2
23/01/2021;09:46:25;112;Acidente sem VITIMA;75,000;BR-290/RS;Leste;Choque Defensa;1;1;0;0;0;0;1
27/01/2021;18:22:04;192;Acidente COM VITIMA;10,000;BR-290/RS;Leste;Capotamento;1;0;1;0;0;0;1
27/01/2021;00:32:21;4;Acidente sem VITIMA;72,000;BR-290/RS;Oeste;Queda de moto;1;1;0;0;0;0;1
28/01/2021;09:40:46;103;Acidente sem VITIMA;401,000;BR-386/RS;Sul;Queda de moto;1;2;0;0;0;0;1
29/01/2021;09:34:06;109;Acidente com VITIMA;44,000;BR-101/RS;Norte;Choque com veículo na faixa de rolamento;1;1;0;0;0;0;1
29/01/2021;03:13:25;17;Acidente sem VITIMA;318,000;BR-386/RS;Sul;Saída de pista;1;5;0;0;0;0;1
29/01/2021;08:33:09;78;Acidente com VITIMA;13,000;BR-448/RS;Sul;Queda de moto;1;1;0;0;0;0;1
30/01/2021;22:49:13;289;Acidente sem VITIMA;252,000;BR-386/RS;Norte;Saída de pista;1;2;0;0;0;0;1
03/02/2021;10:38:16;143;Acidente sem VITIMA;92,000;BR-290/RS;Leste;Colisão - Lateral;1;2;0;0;0;0;1
03/02/2021;16:29:47;232;Acidente sem VITIMA;411,000;BR-386/RS;Norte;Colisão - Lateral;1;4;0;0;0;0;1
05/02/2021;09:31:36;94;Acidente com VITIMA;425,000;BR-386/RS;Sul;Choque Barreira;1;0;1;0;0;0;1
08/02/2021;08:56:37;88;Acidente sem VITIMA;92,000;BR-290/RS;Oeste;;1;1;0;0;0;0;1
10/02/2021;15:40:04;195;Acidente com VITIMA;353,000;BR-386/RS;Sul;Engavetamento;2;4;0;1;0;0;2
10/02/2021;00:20:04;2;Acidente com VITIMA;25,000;BR-290/RS;Leste;Colisão - Traseira;1;1;1;0;0;0;1
13/02/2021;00:30:41;4;Acidente com VITIMA;284,000;BR-386/RS;Sul;Colisão - Frontal;2;2;0;1;2;0;2
14/02/2021;18:14:21;204;Acidente sem VITIMA;92,000;BR-290/RS;Oeste;Colisão - Lateral;1;2;0;0;0;0;1
18/02/2021;19:53:42;256;Acidente sem VITIMA;35,000;BR-101/RS;Norte;Colisão - Traseira;1;2;0;0;0;0;1
18/02/2021;08:04:26;67;Acidente sem VITIMA;313,000;BR-386/RS;Norte;Colisão - Lateral;1;2;0;0;0;0;1
19/02/2021;20:46:17;278;Acidente sem VITIMA;19,000;BR-290/RS;Leste;Colisão - Lateral;1;5;0;0;0;0;1
20/02/2021;11:09:24;113;Acidente com VITIMA;11,000;BR-101/RS;Sul;Colisão - Traseira;1;1;0;2;0;0;2
22/02/2021;17:47:03;277;Acidente com VITIMA;398,000;BR-386/RS;Sul;;1;1;5;0;0;0;1
23/02/2021;12:17:07;138;Acidente com VITIMA;261,000;BR-386/RS;Sul;Colisão - Frontal;1;0;1;1;0;0;2
01/03/2021;05:38:08;13;Acidente sem VITIMA;73,000;BR-101/RS;Sul;Colisão - Traseira;1;3;0;0;0;0;1
02/03/2021;05:46:05;15;Acidente com VITIMA;308,000;BR-386/RS;Sul;Colisão - Traseira;2;1;1;0;0;0;1
03/03/2021;14:53:30;180;Acidente sem VITIMA;276,000;BR-386/RS;Sul;Queda de ribanceira;1;2;0;0;0;0;1
03/03/2021;15:11:56;191;Acidente com VITIMA;290,000;BR-386/RS;Norte;;1;1;0;2;1;0;2
07/03/2021;07:00:00;12;Acidente com VITIMA;65,000;BR-101/RS;Sul;Colisão - Traseira;1;0;0;0;1;0;2
08/03/2021;11:11:22;137;Acidente sem VITIMA;44,000;BR-101/RS;Norte;Colisão - Traseira;2;2;0;0;0;0;1
08/03/2021;22:18:23;272;Acidente sem VITIMA;308,000;BR-386/RS;Norte;Tombamento;1;1;0;0;0;0;1
09/03/2021;08:26:26;61;Acidente sem VITIMA;87,000;BR-290/RS;Leste;Colisão - Lateral;1;2;0;0;0;0;1
10/03/2021;14:12:38;156;Acidente sem VITIMA;35,000;BR-101/RS;Norte;Colisão - Traseira;1;2;0;0;0;0;1
12/03/2021;18:16:35;219;Acidente com VITIMA;332,000;BR-386/RS;Norte;Colisão - Frontal;1;2;0;0;1;0;2
13/03/2021;11:44:49;111;Acidente com VITIMA FATAL;350,000;BR-386/RS;Norte;Choque Barreira;1;0;0;0;0;1;3
15/03/2021;14:15:19;156;Acidente sem VITIMA;92,000;BR-290/RS;Leste;;1;1;0;0;0;0;1
17/03/2021;07:58:23;39;Acidente sem VITIMA;35,000;BR-101/RS;Sul;Colisão - Traseira;1;2;0;0;0;0;1
20/03/2021;18:28:15;181;Acidente com VITIMA;49,000;BR-101/RS;Sul;Colisão - Transversal;2;2;1;0;0;0;1
22/03/2021;18:16:14;217;Acidente com VITIMA;432,000;BR-386/RS;Norte;Colisão - Traseira;1;1;1;0;0;0;1
23/03/2021;15:43:30;152;Acidente sem VITIMA;85,000;BR-290/RS;Leste;Colisão - Traseira;1;5;0;0;0;0;1
