dia;mes;id_sentido; id_trecho; percentual_risco;id_risco
5;2;3;1;0.4;2
5;2;3;2;0.86;1
5;2;3;2;0.14;2
5;2;4;1;0.41;1
5;2;4;1;0.59;2
5;2;4;2;0.62;1
5;2;4;2;0.38;2
6;2;3;1;0.66;1
6;2;3;1;0.34;2
6;2;3;2;0.79;1
6;2;3;2;0.21;2
6;2;4;1;0.69;1
6;2;4;1;0.21;2
6;2;4;1;0.1;3
6;2;4;2;0.65;1
6;2;4;2;0.35;2
7;2;1;1;1.0;1
7;2;3;1;0.75;1
7;2;3;1;0.12;2
7;2;3;1;0.12;3
7;2;3;2;0.71;1
7;2;3;2;0.29;2
7;2;4;1;0.94;1
7;2;4;1;0.06;2
7;2;4;2;0.52;1
7;2;4;2;0.17;2
7;2;4;2;0.3;3
8;2;1;1;1.0;1
8;2;3;1;0.67;1
8;2;3;1;0.33;2
8;2;3;2;0.7;1
8;2;3;2;0.3;2
8;2;4;1;0.59;1
8;2;4;1;0.41;2
8;2;4;2;0.5;1
8;2;4;2;0.36;2
8;2;4;2;0.14;3
9;2;3;1;0.59;1
9;2;3;1;0.24;2
9;2;3;1;0.18;3
9;2;3;2;0.65;1
9;2;3;2;0.23;2
9;2;3;2;0.12;3
9;2;4;1;0.56;1
9;2;4;1;0.36;2
9;2;4;1;0.08;3
9;2;4;2;0.55;1
